Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,MAX_ChgSet,AVG_ChgSet,Buggy
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/DBSizeTest.java,2.0,1.0,84.0,66.0,42.0,84.0,66.0,42.0,66.0,2.5,yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/Util.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/zookeeper/ClientCnxn.java,1.0,1.0,98.0,98.0,98.0,14.0,14.0,14.0,14.0,6.0,yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,1.0,1.0,129.0,129.0,129.0,-8.0,0.0,-8.0,-8.0,7.0,yes
3.0.0,src/java/main/org/apache/jute/compiler/JRecord.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/test/org/apache/zookeeper/test/WatcherFuncTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/jute/Utils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
3.0.0,src/java/main/org/apache/jute/compiler/generated/ParseException.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3.0.0,src/java/test/org/apache/zookeeper/test/CreateModeTest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
