Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/jmx/HedwigMBeanRegistry.java,1.0,1.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,5.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,3.0,2.0,43.0,33.0,14.333333,22.0,19.0,7.3333335,2.0,13.333333,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,9.0,3.0,221.0,95.0,24.555555,143.0,65.0,15.888889,30.0,9.888889,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheMXBean.java,1.0,1.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,17.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,3.0,2.0,589.0,550.0,196.33333,576.0,550.0,192.0,550.0,13.666667,
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,3.0,2.0,332.0,317.0,110.666664,319.0,317.0,106.333336,317.0,13.333333,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,3.0,2.0,8.0,4.0,2.6666667,-1.0,1.0,-0.33333334,0.0,18.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,2.0,2.0,10.0,10.0,5.0,8.0,9.0,4.0,-1.0,12.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,3.0,2.0,20.0,10.0,6.6666665,18.0,8.0,6.0,5.0,12.666667,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,13.0,
